axis,x,variant,rep,duration_ns
G,2,Reduce,0,4596
G,2,Reduce,1,4596
G,2,Reduce,2,4596
G,2,Reduce,3,4596
G,2,Reduce,4,4596
G,2,Reduce,5,4596
G,2,Reduce,6,4596
G,2,Reduce,7,4596
G,2,Allreduce (apex),0,4596
G,2,Allreduce (apex),1,4596
G,2,Allreduce (apex),2,4596
G,2,Allreduce (apex),3,4596
G,2,Allreduce (apex),4,4596
G,2,Allreduce (apex),5,4596
G,2,Allreduce (apex),6,4596
G,2,Allreduce (apex),7,4596
G,2,Allreduce (reduce+bcast),0,9192
G,2,Allreduce (reduce+bcast),1,9192
G,2,Allreduce (reduce+bcast),2,9192
G,2,Allreduce (reduce+bcast),3,9192
G,2,Allreduce (reduce+bcast),4,9192
G,2,Allreduce (reduce+bcast),5,9192
G,2,Allreduce (reduce+bcast),6,9192
G,2,Allreduce (reduce+bcast),7,9192
G,4,Reduce,0,4596
G,4,Reduce,1,4596
G,4,Reduce,2,4596
G,4,Reduce,3,4596
G,4,Reduce,4,4596
G,4,Reduce,5,4596
G,4,Reduce,6,4596
G,4,Reduce,7,4596
G,4,Allreduce (apex),0,4596
G,4,Allreduce (apex),1,4596
G,4,Allreduce (apex),2,4596
G,4,Allreduce (apex),3,4596
G,4,Allreduce (apex),4,4596
G,4,Allreduce (apex),5,4596
G,4,Allreduce (apex),6,4596
G,4,Allreduce (apex),7,4596
G,4,Allreduce (reduce+bcast),0,9192
G,4,Allreduce (reduce+bcast),1,9192
G,4,Allreduce (reduce+bcast),2,9192
G,4,Allreduce (reduce+bcast),3,9192
G,4,Allreduce (reduce+bcast),4,9192
G,4,Allreduce (reduce+bcast),5,9192
G,4,Allreduce (reduce+bcast),6,9192
G,4,Allreduce (reduce+bcast),7,9192
G,8,Reduce,0,4596
G,8,Reduce,1,4596
G,8,Reduce,2,4596
G,8,Reduce,3,4596
G,8,Reduce,4,4596
G,8,Reduce,5,4596
G,8,Reduce,6,4596
G,8,Reduce,7,4596
G,8,Allreduce (apex),0,4596
G,8,Allreduce (apex),1,4596
G,8,Allreduce (apex),2,4596
G,8,Allreduce (apex),3,4596
G,8,Allreduce (apex),4,4596
G,8,Allreduce (apex),5,4596
G,8,Allreduce (apex),6,4596
G,8,Allreduce (apex),7,4596
G,8,Allreduce (reduce+bcast),0,9192
G,8,Allreduce (reduce+bcast),1,9192
G,8,Allreduce (reduce+bcast),2,9192
G,8,Allreduce (reduce+bcast),3,9192
G,8,Allreduce (reduce+bcast),4,9192
G,8,Allreduce (reduce+bcast),5,9192
G,8,Allreduce (reduce+bcast),6,9192
G,8,Allreduce (reduce+bcast),7,9192
G,16,Reduce,0,4596
G,16,Reduce,1,4596
G,16,Reduce,2,4596
G,16,Reduce,3,4596
G,16,Reduce,4,4596
G,16,Reduce,5,4596
G,16,Reduce,6,4596
G,16,Reduce,7,4596
G,16,Allreduce (apex),0,4596
G,16,Allreduce (apex),1,4596
G,16,Allreduce (apex),2,4596
G,16,Allreduce (apex),3,4596
G,16,Allreduce (apex),4,4596
G,16,Allreduce (apex),5,4596
G,16,Allreduce (apex),6,4596
G,16,Allreduce (apex),7,4596
G,16,Allreduce (reduce+bcast),0,9192
G,16,Allreduce (reduce+bcast),1,9192
G,16,Allreduce (reduce+bcast),2,9192
G,16,Allreduce (reduce+bcast),3,9192
G,16,Allreduce (reduce+bcast),4,9192
G,16,Allreduce (reduce+bcast),5,9192
G,16,Allreduce (reduce+bcast),6,9192
G,16,Allreduce (reduce+bcast),7,9192
M,2048,Reduce,0,3413
M,2048,Reduce,1,3413
M,2048,Reduce,2,3413
M,2048,Reduce,3,3413
M,2048,Reduce,4,3413
M,2048,Reduce,5,3413
M,2048,Reduce,6,3413
M,2048,Reduce,7,3413
M,2048,Allreduce (apex),0,3413
M,2048,Allreduce (apex),1,3413
M,2048,Allreduce (apex),2,3413
M,2048,Allreduce (apex),3,3413
M,2048,Allreduce (apex),4,3413
M,2048,Allreduce (apex),5,3413
M,2048,Allreduce (apex),6,3413
M,2048,Allreduce (apex),7,3413
M,2048,Allreduce (reduce+bcast),0,6827
M,2048,Allreduce (reduce+bcast),1,6827
M,2048,Allreduce (reduce+bcast),2,6827
M,2048,Allreduce (reduce+bcast),3,6827
M,2048,Allreduce (reduce+bcast),4,6827
M,2048,Allreduce (reduce+bcast),5,6827
M,2048,Allreduce (reduce+bcast),6,6827
M,2048,Allreduce (reduce+bcast),7,6827
M,8192,Reduce,0,3920
M,8192,Reduce,1,3920
M,8192,Reduce,2,3920
M,8192,Reduce,3,3920
M,8192,Reduce,4,3920
M,8192,Reduce,5,3920
M,8192,Reduce,6,3920
M,8192,Reduce,7,3920
M,8192,Allreduce (apex),0,3920
M,8192,Allreduce (apex),1,3920
M,8192,Allreduce (apex),2,3920
M,8192,Allreduce (apex),3,3920
M,8192,Allreduce (apex),4,3920
M,8192,Allreduce (apex),5,3920
M,8192,Allreduce (apex),6,3920
M,8192,Allreduce (apex),7,3920
M,8192,Allreduce (reduce+bcast),0,7841
M,8192,Allreduce (reduce+bcast),1,7841
M,8192,Allreduce (reduce+bcast),2,7841
M,8192,Allreduce (reduce+bcast),3,7841
M,8192,Allreduce (reduce+bcast),4,7841
M,8192,Allreduce (reduce+bcast),5,7841
M,8192,Allreduce (reduce+bcast),6,7841
M,8192,Allreduce (reduce+bcast),7,7841
M,32768,Reduce,0,5948
M,32768,Reduce,1,5948
M,32768,Reduce,2,5948
M,32768,Reduce,3,5948
M,32768,Reduce,4,5948
M,32768,Reduce,5,5948
M,32768,Reduce,6,5948
M,32768,Reduce,7,5948
