group_size,msg_bytes,inc_ns,ring_ns,speedup,ring_bytes_per_rank,drops,topo,linkspeed_mbps,reduce_compute_ns
2,4096,1417,5234,3.694,4096,0,scaleup_tree16_3600Gbps.topo,3600000,100
2,16384,1442,5251,3.641,16384,0,scaleup_tree16_3600Gbps.topo,3600000,100
2,65536,1542,5351,3.470,65536,0,scaleup_tree16_3600Gbps.topo,3600000,100
2,262144,1941,8366,4.310,262144,0,scaleup_tree16_3600Gbps.topo,3600000,100
2,1048576,3539,25139,7.103,1048576,0,scaleup_tree16_3600Gbps.topo,3600000,100
2,4194304,9929,92277,9.294,4194304,0,scaleup_tree16_3600Gbps.topo,3600000,100
4,4096,1417,15702,11.081,6144,0,scaleup_tree16_3600Gbps.topo,3600000,100
4,16384,1442,15702,10.889,24576,0,scaleup_tree16_3600Gbps.topo,3600000,100
4,65536,1542,15852,10.280,98304,0,scaleup_tree16_3600Gbps.topo,3600000,100
4,262144,1941,16882,8.698,393216,0,scaleup_tree16_3600Gbps.topo,3600000,100
4,1048576,3539,57222,16.169,1572864,0,scaleup_tree16_3600Gbps.topo,3600000,100
4,4194304,9929,218572,22.013,6291456,0,scaleup_tree16_3600Gbps.topo,3600000,100
8,4096,3134,49505,15.796,7168,0,scaleup_tree16_3600Gbps.topo,3600000,100
8,16384,3159,49505,15.671,28672,0,scaleup_tree16_3600Gbps.topo,3600000,100
8,65536,3259,49621,15.226,114688,0,scaleup_tree16_3600Gbps.topo,3600000,100
8,262144,3658,50320,13.756,458752,0,scaleup_tree16_3600Gbps.topo,3600000,100
8,1048576,5255,77475,14.743,1835008,0,scaleup_tree16_3600Gbps.topo,3600000,100
8,4194304,11645,285947,24.555,7340032,0,scaleup_tree16_3600Gbps.topo,3600000,100
16,4096,3134,104243,33.262,7680,0,scaleup_tree16_3600Gbps.topo,3600000,100
16,16384,3159,104243,32.999,30720,0,scaleup_tree16_3600Gbps.topo,3600000,100
16,65536,3259,104243,31.986,122880,0,scaleup_tree16_3600Gbps.topo,3600000,100
16,262144,3658,104991,28.702,491520,0,scaleup_tree16_3600Gbps.topo,3600000,100
16,1048576,5255,108125,20.576,1966080,0,scaleup_tree16_3600Gbps.topo,3600000,100
16,4194304,11645,320026,27.482,7864320,0,scaleup_tree16_3600Gbps.topo,3600000,100
