group_size,msg_bytes,inc_ns,ring_ns,rdouble_ns,ideal_ring_ns,speedup,speedup_vs_ideal,speedup_rdouble,inc_synced_ns,speedup_synced,ring_bytes_per_rank,drops,topo,linkspeed_mbps,reduce_compute_ns,hop_oneway_ns,inc_sync_rtt_ns
2,65536,1542,5351,5351,1445.6,3.470,0.938,3.470,4142,1.292,65536,0,scaleup_single_switch_2_3600Gbps.topo,3600000,100,1300,2600
2,1048576,3539,25139,25139,3630.2,7.103,1.026,7.103,6139,4.095,1048576,0,scaleup_single_switch_2_3600Gbps.topo,3600000,100,1300,2600
4,65536,1542,15852,10634,4118.5,10.280,2.671,6.896,4142,3.827,98304,0,scaleup_single_switch_4_3600Gbps.topo,3600000,100,1300,2600
4,1048576,3539,57222,46771,7395.3,16.169,2.090,13.216,6139,9.321,1572864,0,scaleup_single_switch_4_3600Gbps.topo,3600000,100,1300,2600
8,65536,1542,36754,15885,9354.9,23.835,6.067,10.302,4142,8.873,114688,0,scaleup_single_switch_8_3600Gbps.topo,3600000,100,1300,2600
8,1048576,3539,74258,57753,13177.8,20.983,3.724,16.319,6139,12.096,1835008,0,scaleup_single_switch_8_3600Gbps.topo,3600000,100,1300,2600
16,65536,1542,78507,21119,19773.1,50.912,12.823,13.696,4142,18.954,122880,0,scaleup_single_switch_16_3600Gbps.topo,3600000,100,1300,2600
16,1048576,3539,84754,63409,23869.1,23.949,6.745,17.917,6139,13.806,1966080,0,scaleup_single_switch_16_3600Gbps.topo,3600000,100,1300,2600
32,65536,1542,162248,26353,40582.2,105.219,26.318,17.090,4142,39.171,126976,0,scaleup_single_switch_32_3600Gbps.topo,3600000,100,1300,2600
32,1048576,3539,165859,68759,44814.7,46.866,12.663,19.429,6139,27.017,2031616,0,scaleup_single_switch_32_3600Gbps.topo,3600000,100,1300,2600
64,65536,1542,329729,31586,82186.7,213.832,53.299,20.484,4142,79.606,129024,0,scaleup_single_switch_64_3600Gbps.topo,3600000,100,1300,2600
64,1048576,3539,332874,74042,86487.5,94.059,24.438,20.922,6139,54.223,2064384,0,scaleup_single_switch_64_3600Gbps.topo,3600000,100,1300,2600
