group_size,msg_bytes,inc_ns,ring_ns,rdouble_ns,ideal_ring_ns,speedup,speedup_vs_ideal,speedup_rdouble,inc_synced_ns,speedup_synced,ring_bytes_per_rank,drops,topo,linkspeed_mbps,reduce_compute_ns,hop_oneway_ns,analytic_rate_bns,inc_sync_rtt_ns
2,64512,1542,5351,5351,1431.0,3.470,0.928,3.470,4142,1.292,64512,0,scaleup_single_switch_2_3600Gbps.topo,3600000,100,1300,492.3,2600
2,1048320,3539,25139,25139,3429.4,7.103,0.969,7.103,6139,4.095,1048320,0,scaleup_single_switch_2_3600Gbps.topo,3600000,100,1300,492.3,2600
4,64512,1542,15852,10634,4096.6,10.280,2.657,6.896,4142,3.827,96768,0,scaleup_single_switch_4_3600Gbps.topo,3600000,100,1300,492.3,2600
4,1048320,3539,57222,46771,7094.1,16.169,2.005,13.216,6139,9.321,1572480,0,scaleup_single_switch_4_3600Gbps.topo,3600000,100,1300,492.3,2600
8,64512,1542,36754,15885,9329.3,23.835,6.050,10.302,4142,8.873,112896,0,scaleup_single_switch_8_3600Gbps.topo,3600000,100,1300,492.3,2600
8,1048320,3539,74258,57753,12826.5,20.983,3.624,16.319,6139,12.096,1834560,0,scaleup_single_switch_8_3600Gbps.topo,3600000,100,1300,492.3,2600
16,64512,1542,78507,21119,19745.7,50.912,12.805,13.696,4142,18.954,120960,0,scaleup_single_switch_16_3600Gbps.topo,3600000,100,1300,492.3,2600
16,1048320,3539,84754,63409,23492.7,23.949,6.638,17.917,6139,13.806,1965600,0,scaleup_single_switch_16_3600Gbps.topo,3600000,100,1300,492.3,2600
32,64512,1542,162248,26353,40553.9,105.219,26.300,17.090,4142,39.171,124992,0,scaleup_single_switch_32_3600Gbps.topo,3600000,100,1300,492.3,2600
32,1048320,3539,165859,68759,44425.8,46.866,12.553,19.429,6139,27.017,2031120,0,scaleup_single_switch_32_3600Gbps.topo,3600000,100,1300,492.3,2600
64,64512,1542,329729,31586,82158.0,213.832,53.280,20.484,4142,79.606,127008,0,scaleup_single_switch_64_3600Gbps.topo,3600000,100,1300,492.3,2600
64,1048320,3539,332874,74042,86092.3,94.059,24.327,20.922,6139,54.223,2063880,0,scaleup_single_switch_64_3600Gbps.topo,3600000,100,1300,492.3,2600
72,64512,1542,371600,,92558.4,240.986,60.025,,4142,89.715,127232,0,scaleup_single_switch_72_3600Gbps.topo,3600000,100,1300,492.3,2600
72,1048320,3539,375144,,96499.7,106.003,27.268,,6139,61.108,2067520,0,scaleup_single_switch_72_3600Gbps.topo,3600000,100,1300,492.3,2600
256,64512,3259,1540499,74796,739761.1,472.691,226.990,22.951,9059,170.052,128520,0,scaleup_twotier_h100_256gpu_3600Gbps.topo,3600000,100,2900,492.3,5800
256,1048320,5255,1540499,109318,743742.2,293.149,141.530,20.803,11055,139.349,2088450,0,scaleup_twotier_h100_256gpu_3600Gbps.topo,3600000,100,2900,492.3,5800
