nodes,group_size,rep,mode,payload_bytes,op_id,root,group_idx,size,legs,start_ns,complete_ns,duration_ns,matrix_path
16,4,0,baseline,4096,1,1,0,4096,3,0,4089,4089,mtu_sweep/bcast_n16_g4_r0_m4096.cm
16,4,0,mcast,4096,1,1,0,4096,3,0,3582,3582,mtu_sweep/bcast_n16_g4_r0_m4096.cm
16,4,0,baseline,16384,1,1,0,16384,3,0,7130,7130,mtu_sweep/bcast_n16_g4_r0_m16384.cm
16,4,0,mcast,16384,1,1,0,16384,3,0,4596,4596,mtu_sweep/bcast_n16_g4_r0_m16384.cm
16,4,0,baseline,65536,1,1,0,65536,3,0,19296,19296,mtu_sweep/bcast_n16_g4_r0_m65536.cm
16,4,0,mcast,65536,1,1,0,65536,3,0,8651,8651,mtu_sweep/bcast_n16_g4_r0_m65536.cm
16,4,0,baseline,262144,1,1,0,262144,3,0,67956,67956,mtu_sweep/bcast_n16_g4_r0_m262144.cm
16,4,0,mcast,262144,1,1,0,262144,3,0,24364,24364,mtu_sweep/bcast_n16_g4_r0_m262144.cm
16,4,0,baseline,1048576,1,1,0,1048576,3,0,262598,262598,mtu_sweep/bcast_n16_g4_r0_m1048576.cm
16,4,0,mcast,1048576,1,1,0,1048576,3,0,87217,87217,mtu_sweep/bcast_n16_g4_r0_m1048576.cm
16,4,1,baseline,4096,1,7,0,4096,3,0,4089,4089,mtu_sweep/bcast_n16_g4_r1_m4096.cm
16,4,1,mcast,4096,1,7,0,4096,3,0,3582,3582,mtu_sweep/bcast_n16_g4_r1_m4096.cm
16,4,1,baseline,16384,1,7,0,16384,3,0,7130,7130,mtu_sweep/bcast_n16_g4_r1_m16384.cm
16,4,1,mcast,16384,1,7,0,16384,3,0,4596,4596,mtu_sweep/bcast_n16_g4_r1_m16384.cm
16,4,1,baseline,65536,1,7,0,65536,3,0,19296,19296,mtu_sweep/bcast_n16_g4_r1_m65536.cm
16,4,1,mcast,65536,1,7,0,65536,3,0,8651,8651,mtu_sweep/bcast_n16_g4_r1_m65536.cm
16,4,1,baseline,262144,1,7,0,262144,3,0,67956,67956,mtu_sweep/bcast_n16_g4_r1_m262144.cm
16,4,1,mcast,262144,1,7,0,262144,3,0,24364,24364,mtu_sweep/bcast_n16_g4_r1_m262144.cm
16,4,1,baseline,1048576,1,7,0,1048576,3,0,262598,262598,mtu_sweep/bcast_n16_g4_r1_m1048576.cm
16,4,1,mcast,1048576,1,7,0,1048576,3,0,87217,87217,mtu_sweep/bcast_n16_g4_r1_m1048576.cm
16,4,2,baseline,4096,1,12,0,4096,3,0,4258,4258,mtu_sweep/bcast_n16_g4_r2_m4096.cm
16,4,2,mcast,4096,1,12,0,4096,3,0,3582,3582,mtu_sweep/bcast_n16_g4_r2_m4096.cm
16,4,2,baseline,16384,1,12,0,16384,3,0,7299,7299,mtu_sweep/bcast_n16_g4_r2_m16384.cm
16,4,2,mcast,16384,1,12,0,16384,3,0,4596,4596,mtu_sweep/bcast_n16_g4_r2_m16384.cm
16,4,2,baseline,65536,1,12,0,65536,3,0,19464,19464,mtu_sweep/bcast_n16_g4_r2_m65536.cm
16,4,2,mcast,65536,1,12,0,65536,3,0,8651,8651,mtu_sweep/bcast_n16_g4_r2_m65536.cm
16,4,2,baseline,262144,1,12,0,262144,3,0,68125,68125,mtu_sweep/bcast_n16_g4_r2_m262144.cm
16,4,2,mcast,262144,1,12,0,262144,3,0,24364,24364,mtu_sweep/bcast_n16_g4_r2_m262144.cm
16,4,2,baseline,1048576,1,12,0,1048576,3,0,262767,262767,mtu_sweep/bcast_n16_g4_r2_m1048576.cm
