collective,baseline_algo,group_size,msg_bytes,inc_ns,base_ns,speedup,inc_makespan_ns,base_makespan_ns,drops,fabric,reduce_compute_ns,su_topo,so_topo,intranode_linkspeed_mbps,engine,log_file,command
allreduce,ring,4,16777216,34487,56168,1.629,34587,56268,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/allreduce_ring_4_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_16777216.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_16777216.groups -rs_local_fold
allreduce,rdouble,4,16777216,34487,54550,1.582,34587,54650,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/allreduce_rdouble_4_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_16777216.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_16777216.groups -rs_local_fold
allreduce_rs_ag,ring,4,16777216,51934,56168,1.082,52034,56268,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/allreduce_rs_ag_ring_4_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_16777216.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_16777216.groups -rs_local_fold
reduce_scatter,ring,4,16777216,25967,28084,1.082,26067,28184,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/reduce_scatter_ring_4_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_reduce_scatter_16777216.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_reduce_scatter_16777216.groups -rs_local_fold
allgather,ring,4,16777216,25967,28084,1.082,26067,28184,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/allgather_ring_4_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allgather_16777216.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allgather_16777216.groups -rs_local_fold
bcast,ring,4,16777216,34487,39169,1.136,34587,39269,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/bcast_ring_4_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_bcast_16777216.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_bcast_16777216.groups -rs_local_fold
reduce,ring,4,16777216,34487,39169,1.136,34587,39269,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/reduce_ring_4_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_reduce_16777216.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_reduce_16777216.groups -rs_local_fold
allreduce,ring,8,16777216,35203,91211,2.591,35303,91311,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/allreduce_ring_8_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_16777216.bin -nodes 8 -num_gpus_per_node 8 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_16777216.groups -rs_local_fold
allreduce,rdouble,8,16777216,35203,71689,2.036,35303,71789,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/allreduce_rdouble_8_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_16777216.bin -nodes 8 -num_gpus_per_node 8 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_16777216.groups -rs_local_fold
allreduce_rs_ag,ring,8,16777216,67560,91211,1.350,67660,91311,2342,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_dchk_on/logs/allreduce_rs_ag_ring_8_16777216.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_16777216.bin -nodes 8 -num_gpus_per_node 8 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_16777216.groups -rs_local_fold
