collective,baseline_algo,group_size,msg_bytes,inc_ns,base_ns,speedup,inc_makespan_ns,base_makespan_ns,drops,fabric,reduce_compute_ns,su_topo,so_topo,intranode_linkspeed_mbps,engine,log_file,command
allreduce,ring,2,4194304,8928,10170,1.139,9028,10270,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/allreduce_ring_2_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_4194304.bin -nodes 2 -num_gpus_per_node 2 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_4194304.groups -rs_local_fold
allreduce,rdouble,2,4194304,8928,10170,1.139,9028,10270,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/allreduce_rdouble_2_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_4194304.bin -nodes 2 -num_gpus_per_node 2 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_4194304.groups -rs_local_fold
allreduce_rs_ag,ring,2,4194304,9336,10170,1.089,9436,10270,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/allreduce_rs_ag_ring_2_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_4194304.bin -nodes 2 -num_gpus_per_node 2 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_4194304.groups -rs_local_fold
reduce_scatter,ring,2,4194304,4668,5085,1.089,4768,5185,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/reduce_scatter_ring_2_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_reduce_scatter_4194304.bin -nodes 2 -num_gpus_per_node 2 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_reduce_scatter_4194304.groups -rs_local_fold
allgather,ring,2,4194304,4668,5085,1.089,4768,5185,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/allgather_ring_2_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allgather_4194304.bin -nodes 2 -num_gpus_per_node 2 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allgather_4194304.groups -rs_local_fold
bcast,ring,2,4194304,8928,9386,1.051,9028,9486,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/bcast_ring_2_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_bcast_4194304.bin -nodes 2 -num_gpus_per_node 2 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_bcast_4194304.groups -rs_local_fold
reduce,ring,2,4194304,8928,9386,1.051,9028,9486,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/reduce_ring_2_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_reduce_4194304.bin -nodes 2 -num_gpus_per_node 2 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_reduce_4194304.groups -rs_local_fold
allreduce,ring,4,4194304,8928,17682,1.981,9028,17782,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/allreduce_ring_4_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_4194304.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_4194304.groups -rs_local_fold
allreduce,rdouble,4,4194304,8928,16064,1.799,9028,16164,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/allreduce_rdouble_4_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_4194304.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_4194304.groups -rs_local_fold
allreduce_rs_ag,ring,4,4194304,13596,17682,1.301,13696,17782,0,lossless_input,0,scaleup_single_switch_64_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_foldsweep_on/logs/allreduce_rs_ag_ring_4_4194304.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_4194304.bin -nodes 4 -num_gpus_per_node 4 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_single_switch_64_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_4194304.groups -rs_local_fold
