collective,baseline_algo,group_size,msg_bytes,inc_ns,base_ns,speedup,inc_makespan_ns,base_makespan_ns,drops,fabric,reduce_compute_ns,su_topo,so_topo,intranode_linkspeed_mbps,engine,log_file,command
allreduce,ring,12,171360,1473,49643,33.702,1573,49743,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/allreduce_ring_12_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_171360.bin -nodes 12 -num_gpus_per_node 12 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_171360.groups
allreduce_rs_ag,ring,12,171360,2839,49643,17.486,2939,49743,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/allreduce_rs_ag_ring_12_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_171360.bin -nodes 12 -num_gpus_per_node 12 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_171360.groups
reduce_scatter,ring,12,171360,1482,24821,16.748,1582,24921,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/reduce_scatter_ring_12_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_reduce_scatter_171360.bin -nodes 12 -num_gpus_per_node 12 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_reduce_scatter_171360.groups
allgather,ring,12,171360,1357,24821,18.291,1457,24921,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/allgather_ring_12_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allgather_171360.bin -nodes 12 -num_gpus_per_node 12 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allgather_171360.groups
bcast,ring,12,171360,1473,12516,8.497,1573,12616,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/bcast_ring_12_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_bcast_171360.bin -nodes 12 -num_gpus_per_node 12 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_bcast_171360.groups
reduce,ring,12,171360,1473,12896,8.755,1573,12996,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/reduce_ring_12_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_reduce_171360.bin -nodes 12 -num_gpus_per_node 12 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_reduce_171360.groups
allreduce,ring,14,171360,1473,58560,39.756,1573,58660,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/allreduce_ring_14_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_171360.bin -nodes 14 -num_gpus_per_node 14 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_171360.groups
allreduce_rs_ag,ring,14,171360,2904,58560,20.165,3004,58660,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/allreduce_rs_ag_ring_14_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_171360.bin -nodes 14 -num_gpus_per_node 14 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allreduce_rs_ag_171360.groups
reduce_scatter,ring,14,171360,1481,29280,19.770,1581,29380,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/reduce_scatter_ring_14_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_reduce_scatter_171360.bin -nodes 14 -num_gpus_per_node 14 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_reduce_scatter_171360.groups
allgather,ring,14,171360,1423,29280,20.576,1523,29380,0,lossless_input,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,4000000,pcm-sdk,/workspace/simulation-scripts/results/_podstep/logs/allgather_ring_14_171360.log,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_coll_ab/inc_allgather_171360.bin -nodes 14 -num_gpus_per_node 14 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_queue_type lossless_input -mtu 4160 -groups /tmp/scaleup_coll_ab/inc_allgather_171360.groups
