mode,arm,mcast_pin,n_groups,group_size,pods_spanned,hosts_per_pod,collective,baseline_algo,msg_bytes,makespan_ns,drop_log_hits,status,pfc_high,pfc_low,intranode_q,pauses_sent,resumes_sent,peak_ingress_bytes,peak_ingress_frac,peak_ingress_queue,peak_egress_bytes,peak_egress_frac,peak_egress_queue,nic_honor,nic_pauses_seen,nic_grants_declined,nic_redrives_held,su_topo,so_topo,nodes,gpus_per_node,intranode_linkspeed_mbps,engine,log_file,trace_file,command
stress,distributed,-1,1,8,8,16,allreduce,,65536,2074,0,ok,389,311,7024,0,0,66560,0.0364,VQ-CS0->US0(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/distributed_1_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_1_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_1_65536.groups
stress,pinned,0,1,8,8,16,allreduce,,65536,2074,0,ok,389,311,7024,0,0,66560,0.0364,VQ-CS0->US0(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/pinned_1_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_1_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_1_65536.groups -mcast_pin 0
stress,distributed,-1,2,8,8,16,allreduce,,65536,2074,0,ok,389,311,7024,0,0,66560,0.0364,VQ-CS1->US1(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/distributed_2_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_2_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_2_65536.groups
stress,pinned,0,2,8,8,16,allreduce,,65536,2216,0,ok,389,311,7024,0,0,133120,0.0729,VQ-CS0->US0(0),70720,0.0024,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/pinned_2_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_2_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_2_65536.groups -mcast_pin 0
stress,distributed,-1,4,8,8,16,allreduce,,65536,2074,0,ok,389,311,7024,0,0,66560,0.0364,VQ-CS2->US2(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/distributed_4_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_4_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_4_65536.groups
stress,pinned,0,4,8,8,16,allreduce,,65536,2482,0,ok,389,311,7024,0,0,158080,0.0866,VQ-CS0->US0(0),203840,0.007,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/pinned_4_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_4_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_4_65536.groups -mcast_pin 0
stress,distributed,-1,8,8,8,16,allreduce,,65536,2074,0,ok,389,311,7024,0,0,66560,0.0364,VQ-CS6->US2(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/distributed_8_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_8_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_8_65536.groups
stress,pinned,0,8,8,8,16,allreduce,,65536,3023,0,ok,389,311,7024,0,0,158080,0.0866,VQ-CS0->US0(0),270400,0.0093,US0->CS0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/pinned_8_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_8_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_8_65536.groups -mcast_pin 0
stress,distributed,-1,12,8,8,16,allreduce,,65536,2074,0,ok,389,311,7024,0,0,66560,0.0364,VQ-CS11->US3(0),4160,0.0001,LS0->US0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/distributed_12_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_12_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_12_65536.groups
stress,pinned,0,12,8,8,16,allreduce,,65536,3564,0,ok,389,311,7024,0,0,158080,0.0866,VQ-CS0->US0(0),536640,0.0184,US0->CS0(0),1,0,0,0,scaleup_3tier_256_4000Gbps.topo,tree16_bw200Gbps.topo,2,256,4000000,pcm-sdk,/workspace/simulation-scripts/results/scaleup_pfc_concurrent/logs/pinned_12_65536.log.gz,,/workspace/sim/pcm-sdk_zhiyi/pcm/build/bin/htsim_flow_app_atlahs -goal /tmp/scaleup_pfc_concurrent/pfc_12_65536.bin -nodes 2 -num_gpus_per_node 256 -topo /workspace/simulation-scripts/topo_files/tree16_bw200Gbps.topo -intranode_topo /workspace/simulation-scripts/topo_files/scaleup_3tier_256_4000Gbps.topo -intranode_linkspeed 4000000 -end 100000000 -sender_cc_only -intranode_cc none -intranode_queue_type lossless_input -lossless_high_pfc 389 -lossless_low_pfc 311 -intranode_q 7024 -mtu 4160 -groups /tmp/scaleup_pfc_concurrent/pfc_12_65536.groups -mcast_pin 0
